end_date,age_grp,daily_cases,weekly_cases,pop,prop_cases
May 22,30 to 39,97,856,844497,1.01362112594835
May 22,40 to 49,95,711,815370,0.871996762206115
May 22,50 to 59,71,608,871660,0.697519675102678
May 22,60 to 69,27,350,772889,0.452846398383209
May 22,70 to 79,18,177,450969,0.392488175462171
May 22,80 and older,11,86,253527,0.339214363756129
May 29,0 to 19,77,660,1752893,0.376520415108053
May 29,20 to 29,61,662,930073,0.711772086707172
May 29,30 to 39,56,658,844497,0.779162033731322
May 29,40 to 49,67,553,815370,0.67821970393809
May 29,50 to 59,39,466,871660,0.534612119404355
May 29,60 to 69,30,306,772889,0.395917136872177
May 29,70 to 79,14,150,450969,0.332617097849298
May 29,80 and older,8,76,253527,0.299770833086811
Jun 05,0 to 19,58,639,1752893,0.364540220081887
Jun 05,20 to 29,43,501,930073,0.538667394924914
